Cyanobacterium stanieri;Cyanobacterium_stanieri_strain_ATCC_29140__PCC_7202.fasta;Cyanobacteria;2831;CSTA_A29_CB_UP_01_;Uniprot
Musa acuminata subsp. Malaccensis;Musa_acuminata_subsp__malaccensis_Wild_banana_Musa_malaccensis.fasta;Viridiplantae;36462;MACU_MAL_VD_UP_01_;Uniprot
Nostoc sp.;Nostoc_sp__strain_PCC_7120__UTEX_2576.fasta;Cyanobacteria;6070;NOST_P72_CB_UP_01_;Uniprot
Capsella rubella;Capsella_rubella.fasta;Viridiplantae;26521;CRUB_XXX_VD_PL_01_;Plaza
Acaryochloris marina;Acaryochloris_marina_strain_MBIC_11017.fasta;Cyanobacteria;8172;AMAR_MBI_CB_UP_01_;Uniprot
Aureococcus anophagefferens;Aureococcus_anophagefferens.fasta;Viridiplantae;11382;AANO_XXX_VD_PP_01_;PicoPlaza
Rivularia sp. PCC 7116;Rivularia_sp__PCC_7116.fasta;Cyanobacteria;6617;RIVU_PCC_CB_UP_01_;Uniprot
Coccomyxa sp. C169;Coccomyxa_sp__C169.fasta;Viridiplantae;9994;COCC_C16_VD_PP_01_;PicoPlaza
Nostoc punctiforme;Nostoc_punctiforme_strain_ATCC_29133__PCC_73102.fasta;Cyanobacteria;6573;NPUN_ATC_CB_UP_01_;Uniprot
Arabidopsis thaliana;Arabidopsis_thaliana_Mouse-ear_cress.fasta;Viridiplantae;31668;ATHA_XXX_VD_UP_01_;Uniprot
Prunus persica;Prunus_persica.fasta;Viridiplantae;27864;PPER_XXX_VD_PL_01_;Plaza
Zea mays;Zea_mays.fasta;Viridiplantae;39305;ZMAY_XXX_VD_PL_01_;Plaza
Anabaena variabilis;Anabaena_variabilis_strain_ATCC_29413__PCC_7937.fasta;Cyanobacteria;5634;AVAR_ATC_CB_UP_01_;Uniprot
Fragilariopsis cylindrus;Fragilariopsis_cylindrus.fasta;Viridiplantae;17942;FCYL_XXX_VD_PP_01_;PicoPlaza
Cyanothece sp.;Cyanothece_sp__strain_PCC_7822.fasta;Cyanobacteria;6559;CYAN_P78_CB_UP_01_;Uniprot
Amborella trichopoda;Amborella_trichopoda.fasta;Viridiplantae;27371;ATRI_XXX_VD_UP_01_;Uniprot
Geitlerinema sp. PCC 7407;Geitlerinema_sp__PCC_7407.fasta;Cyanobacteria;3813;GEIT_P74_CB_UP_01_;Uniprot
Crinalium epipsammum PCC 9333;Crinalium_epipsammum_PCC_9333.fasta;Cyanobacteria;4697;CEPI_P93_CB_UP_01_;Uniprot
Anabaena sp. 90;Anabaena_sp__90.fasta;Cyanobacteria;4476;ANAB_S90_CB_UP_01_;Uniprot
Gloeocapsa sp. PCC 7428;Gloeocapsa_sp__PCC_7428.fasta;Cyanobacteria;5003;GLEO_P74_CB_UP_01_;Uniprot
Cyanobacterium aponinum;Cyanobacterium_aponinum_strain_PCC_10605.fasta;Cyanobacteria;3415;CAPO_P10_CB_UP_01_;Uniprot
Ostreococcus lucimarinus;Ostreococcus_lucimarinus.fasta;Viridiplantae;7769;OLUC_XXX_VD_PL_01_;Plaza
Cyanidioschyzon merolae;Cyanidioschyzon_merolae.fasta;Viridiplantae;4988;CMER_XXX_VD_PP_01_;PicoPlaza
Phaeodactylum tricornutum;Phaeodactylum_tricornutum.fasta;Viridiplantae;10135;PTRI_XXX_VD_PP_01_;PicoPlaza
Micromonas pusilla strain CCMP1545;Micromonas_pusilla_strain_CCMP1545.fasta;Viridiplantae;10550;MPUS_CCM_VD_PP_01_;PicoPlaza
Arabidopsis lyrata subsp. Lyrata;Arabidopsis_lyrata_subsp__lyrata_Lyre-leaved_rock-cress.fasta;Viridiplantae;32113;ALYR_XXX_VD_UP_01_;Uniprot
Leptolyngbya sp. PCC 7376;Leptolyngbya_sp__PCC_7376.fasta;Cyanobacteria;4153;LEPT_P73_CB_UP_01_;Uniprot
Fragaria vesca;Fragaria_vesca.fasta;Viridiplantae;34748;FVES_XXX_VD_PL_01_;Plaza
Gloeobacter kilaueensis JS1;Gloeobacter_kilaueensis_JS1.fasta;Cyanobacteria;4462;GKIL_JS1_CB_UP_01_;Uniprot
Microcoleus sp. PCC 7113;Microcoleus_sp__PCC_7113.fasta;Cyanobacteria;6397;MICR_P71_CB_UP_01_;Uniprot
Micromonas sp.;Micromonas_sp__strain_RCC299__NOUM17_Picoplanktonic_green_alga.fasta;Viridiplantae;10115;MICR_RCC_VD_UP_01_;Uniprot
Dactylococcopsis salina PCC 8305;Dactylococcopsis_salina_PCC_8305.fasta;Cyanobacteria;3305;DSAL_P83_CB_UP_01_;Uniprot
Ostreococcus sp RCC809;Ostreococcus_sp_RCC809.fasta;Viridiplantae;7492;OSTE_RCC_VD_PP_01_;PicoPlaza
Theobroma cacao;Theobroma_cacao.fasta;Viridiplantae;29465;TCAC_XXX_VD_PL_01_;Plaza
Thalassiosira pseudonana;Thalassiosira_pseudonana.fasta;Viridiplantae;10894;TPSE_XXX_VD_PP_01_;PicoPlaza
Citrus sinensis;Citrus_sinensis.fasta;Viridiplantae;25466;CSIN_XXX_VD_PL_01_;Plaza
Anabaena cylindrica;Anabaena_cylindrica_strain_ATCC_27899__PCC_7122.fasta;Cyanobacteria;5797;ACYL_ATC_CB_UP_01_;Uniprot
Oscillatoria nigro-viridis PCC 7112;Oscillatoria_nigro-viridis_PCC_7112.fasta;Cyanobacteria;6276;ONIG_PCC_CB_UP_01_;Uniprot
Chroococcidiopsis thermalis PCC 7203;Chroococcidiopsis_thermalis_PCC_7203.fasta;Cyanobacteria;5740;CTHE_P72_CB_UP_01_;Uniprot
Nodularia spumigena CCY9414;Nodularia_spumigena_CCY9414.fasta;Cyanobacteria;5211;NSPU_CCY_CB_UP_01_;Uniprot
Brachypodium distachyon;Brachypodium_distachyon_Purple_false_brome_Trachynia_distachya.fasta;Viridiplantae;29942;BDIS_XXX_VD_UP_01_;Uniprot
Gloeobacter violaceus;Gloeobacter_violaceus_strain_PCC_7421.fasta;Cyanobacteria;4406;GVIO_P74_CB_UP_01_;Uniprot
